rank,name,level,win
673,여자친구 김예원,358,173
674,renyunyiyun,132,182
675,Tempester,404,237
676,Nalalala,304,96
677,SDX q754739521,109,448
678,Onzed,155,103
679,뜨 출격,428,171
680,마스크쓰기귀차나,107,292
681,dsadsad,277,269
682,조이현누나내꺼,444,149
683,zxckasok,55,147
684,Mot hai ba bon,53,63
685,n1u n1u,221,316
686,2001 03 15,517,92
687,mahavarata,84,347
688,EIderwood,421,204
689,zxcasdqwep,54,158
690,우연이 영원히,273,355
691,twitch 야망1,84,152
692,하레온나 fan,58,157
693,Leminem,125,326
694,mingliangxing  z,48,67
695,Q shen,245,175
696,태기베어,173,64
697,구글에 이블린팀,380,126
698,ASE 3K,321,313
699,xinuwuchang,62,93
700,zklqyd,111,325
701,  tian di you wo,323,103
702,mao zedoong,524,207
703,talasha,126,80
704,yukee,432,148
705,dccc,60,224
706,나는이륙할것이다,299,302
707,교생관양,152,160
708,마 오,422,116
709,ig5522,66,173
710,asdhaskjdhjaksdh,57,190
711,깡통신,137,333
712,매일 어떻게 잘해,236,71
713,과거로돌아가,78,191
714,wulongcha,55,187
715,L1fe is Strange,286,273
716,나이트퓨리의선물,140,181
717,Only1oneTap,66,237
718,카사돌,191,107
719,골목대장 태훈이,195,77
720,Only A Fool,140,170
721,Jg Gaper,283,294
722,새우깡끼룩,319,161
723,분신컨트롤,463,66
724,dont help me,191,250
725,SLOW Shiba64,83,92
726,허허맨,231,196
727,콩나물이좋아1,147,110
728,탈론쓰레기챔프,78,149
729,팽신견,143,193
730,tianzhijiaozi,122,271
731,자신감이 곧 실력,100,141
732,약속의3코어,127,70
733,IAKIL,62,242
734,예진냥이,363,210
735,의빈아고생하자,292,81
736,인생걸고태호시티,686,176
737,djha,83,234
738,그냥 그리워,309,188
739,Pooh n Bene,765,131
740,구글에롤브라더스,415,190
741,OnO  OvO,47,103
742,daniao boy,141,264
743,주상이의모험,260,159
744,물방울석입,298,199
745,BabyHarpSeal,174,77
746,FATE,356,82
747,만기퇴소 그림자,150,78
748,asdqwezxcb,42,88
749,카밋포이나,43,93
750,srysrysrysry1,74,58
751,bbb5,73,186
752,한수한수 ,79,269
753,말 벌 AD,71,58
754,la elle marie,667,204
755,Crulser,737,475
756,haohaohaohao,74,180
757,1997 01 14,55,77
758,앤 쥐,172,81
759,Saturday Mornlng,222,214
760,kata 1000,191,113
761,Caesar00,131,201
762,바실라,218,533
763,강미나,65,42
764,hanyuanchamei,47,127
765,눈뜨고봐요,346,139
766,그냥 안할꺼야,456,221
767,asdasdsada,44,106
768,kratosgf,108,234
769,손오공1,101,157
770,평화로운 행동대장 에그타르트,156,311
771,그랩없는 깡통,75,193
772,꼭대기,322,103
773,bie fanren,99,164
774,사 용 수,641,160
775,금방1,44,94
776,98kmi,81,156
777,OHWARDJUMPGE,218,289
778,happy   game ,740,235
779,BT Dosa ,347,304
780,두통 멈춰,358,99
781,고래 칭찬하는,210,203
782,haipiniuyier,66,126
783,율천고 김솔빈,173,306
784,RoLLin77,89,236
785,ADKLNG GOD,127,67
786,Tiger Den,426,57
787,https www,162,350
788,아모고토모타죠아모고토모타죠,54,158
789,병 굴,249,155
790,Brrain,341,143
791,강의듀오코코팀,45,95
792,kai xin chao ren,149,167
793,Make It Rea1,344,155
794,Choln,185,95
795,Sg4n,133,118
796,혜지King ,311,158
797,Peak state,60,218
798,alasseo,302,182
799,Adiogs,206,409
800,우산하리보,132,307
801,나는쓰레기1,209,419
802,Tiancaishaonian,154,166
803,나 돈코 내밑만기,446,156
804,Nyht,136,229
805,장임박,221,143
806,daesam,148,155
807,sunsunrain,60,231
808,효명고등학교,76,239
809,ailoujiang,95,114
810,sadwasdxzcx,57,108
811,adbaszdskdkdsha,49,94
812,dgwb,99,93
813,간디도롤하면폭력,194,322
814,numanihamaru,53,169
815,Snow Dance9,221,235
816,제리고수 강제리,425,302
817,구글 이블린팀COM,72,107
818,뽀삐의 피지컬,288,93
819,DOK SA,332,269
820,SB TOP SRY,172,46
821,지조있게,581,321
822,Monster Genius,41,87
823,전보억,88,249
824,WANG PIAO LIANG,145,185
825,미소짓게만드는법,409,105
826,1처형 900골드,225,82
827,지성153,208,183
828,tuiyinjianghu,81,376
829,DoDohyunhyun,79,276
830,FPX q2380023067b,69,171
831,트위치티비호붕이,233,153
832,징징이는징징징징,274,70
833,Haojay,72,202
834,xihuan daye,244,157
835,불멸의무빙,240,51
836,새우깡기룩,94,201
837,Toby Dreamditch,302,80
838,NOWA,53,108
839,뷔브이,55,75
840,폴 루,106,253
841,NS Haenam,373,602
842,신지테,343,145
843,믜 진,174,393
844,T1 Yuto,341,57
845,살티레,112,108
846,OMG COLD,176,87
847,T1 Minous,84,149
848,Crash9,92,239
849,20050726정글,162,122
850,rladbfh,247,137
851,트위치 백색말,235,262
852,teamluckkK,353,301
853,동작중비주얼담당,61,202
854,zhh,165,128
855,복슬복슬겨드랑이,382,64
856,탑 가엔싸개,175,73
857,RlVEN king,55,122
858,Chronovisor,55,148
859,piglo,61,162
860,모래상자 10개,355,203
861,탑만가는인생,53,55
862,잼 비,217,133
863,다미웡,298,267
864,fajafa,230,361
865,포퉁이,719,209
866,snzll,451,44
867,krats aira,257,151
868,생각보다강하군,304,84
869,eddie hoang,53,167
870,dgdsxnh,61,222
871,RyRbb,96,169
872,재밌는 챔 함,239,210
873,k범진k,293,225
874,개빡친 강주찬,311,146
875,AritirA,113,50
876,깊고 짙은 어둠,52,71
877,NS Carim,228,353
878,kam1satoayaka,417,67
879,쓸데없는채팅혐오,324,80
880,상사일념,58,187
881,98tiancai,57,79
882,dryfIower,46,42
883,용과호랑이용,289,106
884,IM marco,217,181
885,KT Way,435,82
886,마석누런펭귄,260,81
887,부산대부교공결혼,232,99
888,고민이 많아,207,55
889,Rio Leon,251,289
890,블리츠크랭크,312,131
891,자메이카흑인,607,211
892,zoop6,57,121
893,huangshang1,68,52
894,수 직,55,92
895,102351604del,113,69
896,L1ps,171,145
897,이강뚝,162,95
898,이 쁜 채 팅,266,37
899,wobulijie,497,185
900,팀에 벽 느낌,524,111
901,토끼는우사기,254,229
902,탑딜러,294,104
903,처피뱅 카와이,671,158
904,호시니,50,97
905,틀니의호흡 제1딱,166,150
906,SuperFurryFusion,95,276
907,asdgsadasd,257,420
908,H Agent,709,249
909,꼬마딩구리,196,115
910,프로겐,74,115
911,hyunwookleeC,172,276
912,서폿방해하지마요,336,337
913,아라드,217,62
914,PuIse,333,92
915,아는척자제,368,69
916,SnowFlow2r,370,134
917,Daye2,276,381
918,실 망,306,119
919,콩팥강도,314,116
920,레넥톤 장인,590,282
921,트위치 야무준식,307,285
922,잠꾸러긔,369,102
923,전령 도우미,417,135
924,chimin님,109,140
925,야스오 요네 제드 리신 비에고,68,60
926,행복했을까,512,184
927,렁 재,371,86
928,별의연인,650,65
929,볼 살,324,216
930,동국대 조경과,107,288
931,현타온 벙댕이,356,72
932,댕실댕실이,456,402
933,JGKING,138,146
934,Marigold Petal,55,116
935,lztxljjianiaijia,80,145
936,Jiababe12,91,216
937,물방울,83,85
938,듀 월,73,116
939,별사탕이좋아요,493,117
940,아가서포터,172,181
941,SiDE xX,159,58
942,노틸러스서폿,307,49
943,Griffith,307,97
944,LIVENKING,110,88
945,달인 카직스,259,188
946,tybaby,91,129
947,숨 고르기,71,107
948,bluee,161,102
949,riteleader,301,141
950,전적검색좀하지마,336,120
951,미스포츈외길인생,725,311
952,Youtube heeseong,180,75
953,나는팀원들이밉다,207,148
954,쌔 DI,665,190
955,막내현진구름 fan,70,102
956,level,242,98
957,아침형인간9,197,211
958,행운의네잎클로버,48,78
959,juiceqnq,53,130
960,KujoMiki,93,70
961,카시버프좀요,204,105
962,불타버린 발바닥,222,133
963,룰루랄라룰루랄리,321,65
964,huniannn,49,89
965,Witt Zoe,241,77
966,맑은 숲속으로,160,239
967,ANG TV,571,76
968,최현우,418,256
969,be meo,57,202
970,욤 네,369,75
971,HLE Loki ,487,364
972,좀비 클레드,834,291
973,건 망 ,40,80
974,피망 고기채,51,54
975,JYIAM,167,148
976,을려대써 싸이렌,51,105
977,ig baek,64,138
978,생명이끊어진사람,237,88
979,peeeeeeeeeeeeee,308,72
980,qwertyuiopzxcv,133,158
981,CREE,273,94
982,조광희1,267,91
983,zCAMILEKINGz,361,292
984,시계왕,295,111
985,DWG 암Canyon,348,253
986,77GameZting,279,326
987,eat me do ,247,208
988,EDGY About,174,92
989,이도류,597,190
990,흠 산,65,192
991,종글인,155,162
992,NiHuiZaiNaNeIlI,60,211
993,aceaco89,45,74
994,qwedsazxcv,193,58
995,티원 탑,113,311
996,loseBojji,80,388
997,피라미드꼭대기,433,191
998,2020karsa,43,94
999,gaoxiaoyouxi,288,422
1000,Ahriman LYH,92,91
